input	Equation
megan had number0 bottles of water . if she drank number1 of themhow many bottles would megan have left ?	- number0 number1
there are number0 books on a shelf . number1 of them are history books number2 of them are geography books and the rest are math books .how many math books are there on the shelf ?	- - number0 number1 number2
larry 's lawn care charges number0 bucks to trim a hedge . if henry has number1 hedgeshow much money would he spend ?	* number0 number1
at a bus stop number0 people got off the bus . now there were number1 people on the bus .what 's the difference between the number of people getting off the bus and still on the bus ?	- number1 number0
robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold number0 packs of cookies while lucy sold number1 howmany packs of cookies were they able to sell that day ?	+ number0 number1
faye 's team won their baseball game and scored number0 points total . if faye scored number1 of the points and everyone else scored number2 points eachhow many players were on her team ?	/ - number0 number1 number2
george had number0 pieces of candy . if he split the candy into number1 bags with the same amount of candy in each baghow many pieces would each bag have in it ?	/ number0 number1
simon mark kevin and carl love collecting stamps . they meet up every month to compare and share their collections with each other . during the previous month kevin was able to collect number0 stamps while simon was only able to collect number1 howmany more stamps does kevin have more than simon ?	- number0 number1
there were number0 red roses and number1 white roses in the vase . melanie cut some more roses from her flower garden . there are now number2 red roses in the vase .how many red roses did she cut ?	- number2 number0
a delivery driver had to make number0 stops on his route . after he finished those deliveries he made number1 more stops .how many stops did he make total ?	+ number0 number1
last week fred had number0 dollars and jason had number1 dollars . fred washed cars over the weekend and now has number2 dollars .how much money did fred make washing cars ?	- number2 number0
rachel bought number0 new chairs and number1 new tables for her house . if she spent number2 minutes on each piece furniture putting it togetherhow many minutes did it take her to finish ?	* + number0 number1 number2
there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .what is the total area of the undeveloped land ?	* number0 number1
isabel received number0 dollars for her birthday . later she found some toys that cost number1 dollars each .how many of the toys could she buy ?	/ number0 number1
their last stop before leaving the zoo is the bird museum . there they went through number0 bird exhibits spending number1 minutes going around each exhibit .how much time did they spend going through the museum ?	* number0 number1
olivia had number0 pieces of paper in her folder . she used number1 pieces .how many pieces does she have now ?	- number0 number1
while playing a video game victor lost number0 lives . now he has number1 lives .what 's the difference between the number of the lives that victor lost and now ?	- number0 number1
jean had a bag of candy . she gave number0 pieces to her friend . jean ate number1 pieces . now she has number2 pieces left .how many pieces of candy did jean have at first ?	+ + number2 number1 number0
belle collected number0 animal stickers . carolyn collected number1 fewer stickers than belle .how many stickers did carolyn collect ?	- number0 number1
the path opened to a beautiful garden enclosed by a wall . the exit door will open when the number of white flowers is the same as the number of red flowers . if there are number0 white flowers and number1 red flowershow many more red flowers are needed ?	- number0 number1
to get to school jenny decided to ride the school 's double decker bus . the bus has a total of number0 rows of seats and each row has a capacity of number1 kids .how many kids in total can ride the school bus ?	* number0 number1
number0 students are going hiking . each school- bus can take number1 students .how many school-buses are needed ?	/ number0 number1
it 's rachel 's birthday . her parents wanted her to have fun so they went to the circus that happened to be in town that day . upon arriving at the circus they went to the ticket booth and asked how much each ticket cost . if each ticket costs $ number0 and they bought number1 ticketshow much money did they spend on tickets ?	* number0 number1
tommy had some balloons . his mom gave him number0 more balloons for his birthday . then tommy had number1 balloons .how many balloons did tommy have to start with ?	- number1 number0
haley bought number0 new shirts for school . if she returned number1 of themhow many did she end up with ?	- number0 number1
chris has number0 soccer cards . his friend charlie has number1 cards .how many fewer cards does chris have ?	- number1 number0
ben on the other hand was asked to count the number of cows that they have . he saw that there are a total of number0 cows for every cow herd .how many cows do they have in total if there are number1 cow herds in the farm ?	* number0 number1
some deer families are also moving out to avoid the shortage of grass that will result from occasional blizzards . if there are number0 deer families in the area and around number1 of them stayedhow many deer families moved out ?	- number0 number1
liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books .how many books did they sell altogether ?	+ number0 number1
ned ordered some pizzas for a party . during the party number0 were eaten . now he has number1 left .how many pizzas did ned order for the party ?	+ number0 number1
tony had $ number0 . he paid $ number1 for a ticket to a baseball game . at the game he bought a hot dog for $ number2 .what amount of money did tony have then ?	- - number0 number1 number2
at the top of the empire state building he saw the madison square garden so he decided to go there as well . it took him number0 steps to get down the building and number1 steps from the building to madison square garden .how many steps did he take to get to madison square ?	+ number0 number1
on friday number0 people visited the zoo . number1 times as many people visited on saturday than on friday .how many people visited the zoo on saturday ?	* number0 number1
ted and fred measured their height . fred 's height is number0 inches . ted is number1 inches tall .what 's the difference between ted 's height and fred 's height ?	- number0 number1
a tourist group has number0 people . at a hotel they want to rent some large rooms for number1 people each and some small rooms for number2 each . in order to rent the least number of rooms and have every room fully occupiedhow many large rooms should be rented ?	/ number0 number1
there are number0 leaves . there are number1 ladybugs on each leaf .how many ladybugs are there in all ?	* number0 number1
rob is very fond of tall structures . he likes collecting pictures and comparing them . number0 of his favorite buildings are chicago 's sears tower and dubai 's burj khalifa . if burj khalifa stands at number1 meters high and sears stands at number2 meters highhow much higher is burj khalifa than sears ?	- number1 number2
kaleb has to sell number0 chocolate bars to get a prize . if each box contains number1 chocolate barshow many boxes does he need to sell ?	/ number0 number1
tiffany was playing a video game and had number0 lives . in a hard part of the game she lost number1 lives . if she got number2 more lives in the next levelhow many lives would she have ?	+ - number0 number1 number2
ned was buying books about astronomy . he bought number0 books about the planets and number1 about the space program .how many books did he buy total ?	+ number0 number1
emily is making bead necklaces for her friends . she has number0 beads and each necklace takes number1 beads .how many necklaces can emily make ?	/ number0 number1
mr. fortree a businessman also gave seedlings for the tree planting activity . if he gave number0 seedlings of cedar and number1 seedlings of pinehow many seedlings did he give in total ?	+ number0 number1
when she got to school she saw that the school is composed of number0 buildings each having number1 classrooms .how many classrooms does the school have ?	* number0 number1
debby had number0 quarters . if it costs number1 quarters for each coke from a coke machinehow many could she buy ?	/ number0 number1
at the river number0 out of number1 salmon families went to warmer waters to avoid being frozen .how many salmon families were left in the river ?	- number1 number0
they entered the circus tent and saw that there are number0 seating sections for the audience . if each section can accommodate number1 peoplehow many people can the tent accommodate in total ?	* number0 number1
every day ryan spends number0 hours on learning english and number1 hours on learning chinese .how many hours does he spend on learning english and chinese in all ?	+ number0 number1
jessie weighted number0 kilograms . after she started to go jogging everyday now she weights number1 kilograms .how much weight did she lose in the past ?	- number0 number1
a package had number0 cookies in it . after eating some there were number1 left .how many were eaten ?	- number0 number1
paul was packing up his old toys . he managed to squeeze number0 toys into a box . if paul filled up number1 boxeshow many toys did he pack total ?	* number0 number1
there are number0 birds and number1 nests .what 's the difference of the number of birds and nests over there ?	- number0 number1
terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces .how many building pieces did they use altogether ?	+ number0 number1
maria had number0 sheets of paper in her desk and number1 more in her backpack .how many did she have total ?	+ number0 number1
the rest of the kids around town got number0 more eggs around the club house number1 eggs around the park and number2 eggs in the town hall garden . if we add all the eggs that they gothow many eggs would that be ?	+ + number0 number2 number1
if carl has a total of number0 stamps and kevin has number1how many more stamps does carl have more than kevin ?	- number0 number1
victor had number0 apps on his phone . he deleted number1 of them .how many apps does victor have left ?	- number0 number1
gwen had number0 fish and her sister had number1 fish .how many fish did they have total ?	+ number0 number1
a worm has fallen into a hole that is number0 inches deep . it climbs up number1 inches and slides back number2 inches every day .how many days will it take the worm to reach the top ?	/ number0 - number1 number2
while playing a game kaleb had number0 lives . after losing some lives he had number1 left .how many lives did kaleb lose ?	- number0 number1
tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's back pack weighs number2 pounds less . they hiked number3 miles the first day .how many miles do they have left ?	- number0 number3
adam earned number0 dollars for each lawn he mowed . if he had number1 lawns to mow but forgot to mow number2 of themhow much money did he actually earn ?	* - number1 number2 number0
kelly had number0 apples .how many more apples does kelly need to pick to have number1 apples altogether ?	- number1 number0
willy has number0 crayons . lucy has number1 crayons .how many more crayons does willy have than lucy ?	- number0 number1
mrs. hilt is baking bread . she needs number0 cups of flour to bake number1 loaves of bread .how much flour will she need to make number2 loaf of bread ?	/ number0 number1
next on his shopping list are the eggs . if he needs number0 eggs for his cake and his friend andrew gave him number1how many more eggs should he buy ?	- number0 number1
number0 birds were sitting in a tree . number1 more birds flew up to the tree .how many birds were there altogether in the tree ?	+ number0 number1
their next opponent was the green team . if their final score is number0 points and they led by number1 pointswhat is green team 's final score ?	- number0 number1
next on his list is the nursing home near his office . there he number0 boxes of vitamins and number1 boxes of supplements .how many boxes of medicine did the nursing home receive from mr. anderson ?	+ number0 number1
ellen had number0 legos but she lost number1 of them .how many legos does she have now ?	- number0 number1
a new building needed number0 windows . the builder had already installed number1 of them . if it takes number2 hours to install each windowhow long will it take him to install the rest ?	* - number0 number1 number2
rachel bought number0 music albums online . if each album had number1 songshow many songs did she buy total ?	* number0 number1
in a video game each enemy defeated gives you number0 points . if a level has number1 enemies total and you destroy all but number2 of themhow many points would you earn ?	* - number1 number2 number0
an online toy store stocked some toys . it sold number0 toys at the first week and number1 toys at the second week . if it had number2 toys lefthow many toys were in stock at the beginning ?	+ + number0 number1 number2
after new york she decided to visit the smithsonian in washington dc . if she has number0 miniature aircrafts and she gave away number1 to the national air and space museumhow many are left with her ?	- number0 number1
kate has number0 pennies . john has number1 pennies .how many more pennies does john have ?	- number1 number0
at a farming supply store number0 pounds of seed cost $ number1 . if a farmer needed number2 pounds of seedshow much would it cost him ?	* / number1 number0 number2
marian also baked oatmeal cookies for her classmates . if she can place number0 cookies on a tray at a timehow many trays will she need to prepare number1 oatmeal cookies at a time ?	/ number1 number0
maria had number0 pieces of candy . she ate number1 pieces .how many pieces of candy does maria have now ?	- number0 number1
connie has number0 red markers and number1 blue markers .how many markers does she have altogether ?	+ number0 number1
a pet store had number0 white cats number1 black cats and number2 gray cats .how many cats did they have total ?	+ + number0 number1 number2
mrs. sheridan has number0 cats . mrs. garrett has number1 cats .what 's the difference of the number of mrs. sheridan 's cats and mrs. garrett 's cats ?	- number1 number0
