Description,Question,Equation,Input Numbers,Output
gino has number0 popsicle sticks . i have number1 popsicle sticks .,what is the sum of our popsicle sticks ?,+ number0 number1,63 50,113.0
lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon .,how many shells did he pick up in all ?,+ number0 number1,292 324,616.0
there were number0 parents in the program and number1 pupils too .,how many people were present in the program ?,+ number0 number1,105 698,803.0
last saturday marie sold number0 magazines and number1 newspapers .,what is the total number of reading materials she sold ?,+ number0 number1,425 275,700.0
there are number0 birds on the fence . number1 more birds land on the fence .,how many birds are on the fence ?,+ number0 number1,12 8,20.0
number0 boys went down the slide . number1 more boys went down the slide .,how many boys went down the slide ?,+ number0 number1,22 13,35.0
number0 ducks are swimming in a lake . number1 more ducks come to join them .,how many ducks are swimming in the lake ?,+ number0 number1,13 20,33.0
number0 dogs are barking . number1 more dogs start to bark .,how many dogs are barking ?,+ number0 number1,30 10,40.0
bobby ate number0 pieces of candy . then he ate number1 more .,how many pieces of candy did bobby eat ?,+ number0 number1,26 17,43.0
sandy had number0 pet fish . she bought number1 more fish .,how many pet fish does sandy have now ?,+ number0 number1,26 6,32.0
the clown blew up number0 balloons . then he blew up number1 more balloons .,how many balloons does the clown have now ?,+ number0 number1,47 13,60.0
our class got number0 books from the library . then we got number1 more books from the library .,how many books did our class get from the library ?,+ number0 number1,54 23,77.0
julia played tag with number0 kids on monday . she played tag with number1 kids on tuesday .,how many kids did she play with altogether ?,+ number0 number1,12 7,19.0
molly had number0 candles on her birthday cake . she grew older and got number1 more on her birthday cake .,how old is molly now ?,+ number0 number1,14 6,20.0
james ate number0 carrot sticks before dinner and number1 more after dinner .,how many carrot sticks did he eat ?,+ number0 number1,22 15,37.0
jovana filled her bucket with number0 pounds of shells . if she adds number1 more pounds of shell to fill her bucket,how many pounds does she have ?,+ number0 number1,5 12,17.0
isabella 's hair is number0 cubes long . if her hair grows number1 more inches,how long will it be ?,+ number0 number1,18 4,22.0
mrs. sheridan has number0 cats . mr. sheridan gave her number1 more cats .,how many cats does mrs. sheridan have altogether ?,+ number0 number1,17 14,31.0
mrs. sheridan has number0 fish . her sister gave her number1 more fish .,how many fish does she have now ?,+ number0 number1,22 47,69.0
daniel had some noodles . he gave number0 noodles to william . now daniel only has number1 noodles .,how many noodles did daniel have to begin with ?,+ number1 number0,12 54,66.0
mrs. snyder made number0 heart cookies . she made number1 red cookies and the rest are pink .,how many pink cookies did she make ?,- number0 number1,86 36,50.0
number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree .,how many more flew up to the tree ?,- number1 number0,29 42,13.0
number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus .,how many children got on the bus at the bus stop ?,- number1 number0,18 25,7.0
there were number0 girls and number1 boys on the playground at recess .,how many children were there in all ?,+ number0 number1,28 35,63.0
the elephant had number0 peanuts . she ate number1 of them .,how many peanuts did the elephant have left ?,- number0 number1,407 129,278.0
there were number0 geese and number1 ducks in the marsh .,how many birds were there in all ?,+ number0 number1,58 37,95.0
robin had number0 pieces of gum . her brother gave her some more pieces . now robin has number1 pieces in all .,how many pieces of gum did robin 's brother give her ?,- number1 number0,18 44,26.0
tommy had some balloons . his mom gave him number0 more balloons for his birthday . then tommy had number1 balloons .,how many balloons did tommy have to start with ?,- number1 number0,34 60,26.0
alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left .,how many candles did alex have to start with ?,+ number0 number1,32 12,44.0
there were number0 kids on the soccer field . number1 kids decided to join in .,now how many kids are on the soccer field ?,+ number0 number1,14 22,36.0
finn has number0 goldfish . number1 of the goldfish die .,how many goldfish are left ?,- number0 number1,89 32,57.0
jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper .,how many pieces of drawing paper does she have ?,+ number0 number1,28 27,55.0
mikey had number0 leaves . some of her leaves blew away . now she has number1 leaves left .,how many of her leaves blew away ?,- number0 number1,356 112,244.0
marcus has number0 baseball cards . he has number1 more than carter .,how many baseball cards does carter have ?,- number0 number1,210 58,152.0
gavin has number0 shirts . number1 are blue the rest are green .,how many green shirts does gavin have ?,- number0 number1,23 6,17.0
ethan has number0 presents . alissa has number1 more than ethan .,how many presents does alissa have ?,+ number0 number1,31 22,53.0
on the first day of the week pat had number0 stickers . pat earned number1 more during the week .,how many stickers did pat have at the end of the week ?,+ number0 number1,39 22,61.0
kelly had number0 apples .,how many more apples does kelly need to pick to have number1 apples altogether ?,- number1 number0,56 105,49.0
todd has some gum . steve gave him number0 more pieces of gum . now todd has number1 pieces of gum .,how many pieces did todd have to start with ?,- number1 number0,16 54,38.0
josh had number0 pencils . he gave number1 pencils to dorothy .,how many pencils does josh have left ?,- number0 number1,142 31,111.0
nell collects baseball cards . she had number0 cards . she gave some of her cards to jeff and now has number1 cards left .,how many cards did nell give to jeff ?,- number0 number1,304 276,28.0
there are number0 boys and some girls on the playground . there are number1 children altogether .,how many girls are on the playground ?,- number1 number0,40 117,77.0
carla has some marbles . she bought number0 marbles . now she has number1 marbles .,how many did she start with ?,- number1 number0,134 187,53.0
paco had number0 cookies . he ate number1 of them .,how many cookies did paco have left ?,- number0 number1,35 6,29.0
connie has number0 red markers and number1 blue markers .,how many markers does she have altogether ?,+ number0 number1,41 64,105.0
joe had number0 toy cars . if he gets number1 more cars,how many cars will he have then ?,+ number0 number1,50 12,62.0
there are number0 pigs in the barn . some more come to join them . now there are number1 pigs .,how many pigs came to join them ?,- number1 number0,64 86,22.0
rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers .,how many flowers did andre give to rosa ?,- number1 number0,67 90,23.0
adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks .,how many did he have to add ?,- number1 number0,35 65,30.0
